-201 231 -270 185
-103 230 -77 204
-16 231 6 185
51 233 34 191
170 234 128 188
135 236 177 154
263 226 250 167
282 223 295 172
216 136 294 103
170 67 216 102
104 29 45 88
-53 11 8 83
-63 59 -91 97
-159 27 -292 92
-299 -50 -206 104
-284 -88 -167 -80
-130 -31 -73 -111
-26 -35 -46 -140
40 -36 49 -127
139 -43 91 -67
160 -53 171 -81
230 -26 217 -85
287 -30 291 -107
286 -134 245 -207
189 -129 160 -193
74 -119 91 -181
1 -101 -55 203
-101 -117 -71 -172
-154 -121 -158 -167
-229 -121 -199 -168
-160 -117 -172 -166
-135 -117 -116 -168
-86 -110 -41 -120
-85 -141 -40 -131
-9 -145 38 -96
72 -152 58 -105
137 -181 118 -109
162 -143 177 -108
271 -157 238 -99
290 -197 220 -211
183 -228 108 -214
34 -247 75 -225
0 -242 14 -220
-12 -237 -18 -214
-92 -239 -38 -209
-98 -203 -57 -243
-112 -212 -123 -239
-142 -206 -141 -232
-196 -205 -170 -226
-208 -210 -224 -233
-241 -208 -252 -238
-290 -208 -282 -234
-218 -249 -295 -283
-167 -264 -267 -292
-67 -265 -211 -289
-98 -284 -79 -289
-68 -281 -9 -290
14 -266 58 -294
87 -264 73 -291
115 -259 97 -289
130 -268 152 -290
158 -268 188 -288
189 -258 224 -294
225 -260 213 -291
259 -261 239 -288
269 -266 270 -289
282 -268 294 -293
-202 300 -40 27
118 288 77 30
-199 143 -106 16
276 8 52 -26
215 10 27 13
283 51 150 44
277 74 258 86
-229 -25 -248 -55
-171 15 -174 -36
-131 12 -143 -37
-87 17 -66 -24
-96 -49 -39 -37
-67 -71 -49 -61
-289 261 -281 290
-264 262 -241 286
-283 218 -250 259
-287 171 -256 129
-176 172 -230 118
-144 155 -92 91
-125 259 -29 280
-50 236 -36 243
-23 162 -37 221
-22 136 -18 89
38 115 12 65
48 149 87 154
19 281 88 259
244 281 161 262
213 160 193 196
105 38 129 90
126 132 154 112
-274 -207 -236 -250
-282 -162 -260 -131
12 -155 62 -165
