-257 -241 183 249
-168 83 -59 115
63 -35 -113 -259
-134 31 204 58
123 29 130 196
-16 136 -168 289
155 216 -73 -106
-132 263 183 -76
-33 -65 244 -203
-168 181 221 85
-16 -121 -34 -141
1 20 -268 -103
222 -236 193 196
192 -288 140 43
206 23 232 -284
-290 163 156 277
-94 54 113 61
-169 115 278 108
-263 215 299 -213
-105 88 -164 -171
62 -52 289 -250
-41 -168 -24 96
-62 -112 78 -232
-151 52 238 -130
-180 216 -96 -234
230 137 279 59
55 -298 28 -285
256 129 -15 45
-63 -109 265 -188
-75 -12 288 229
10 -218 145 32
-174 -97 64 -158
56 81 -256 238
-153 -15 -80 -209
-61 -84 245 146
255 -86 6 248
238 25 257 -19
8 -143 -193 -91
154 89 192 244
-48 91 -71 -11
-60 58 200 105
284 167 273 248
217 187 -14 187
208 222 111 -276
-80 36 296 -262
-56 -31 -135 209
1 -204 -97 -136
-144 -37 11 -97
273 -143 -48 40
50 130 164 297
-242 -24 230 -133
-127 -295 -176 4
-57 11 84 -187
-235 43 237 -3
-20 -25 214 266
93 30 274 71
53 170 -77 30
-115 52 -134 -128
86 37 166 -176
284 -83 221 -276
