-214 -226 36 -257
-153 299 -48 270
-239 -254 228 251
61 -54 -22 63
-30 195 -161 -227
-228 -133 -165 -44
-71 219 -126 44
-231 -10 97 -298
-107 -133 -118 210
-290 -3 -49 205
-126 200 195 -154
144 -122 160 204
-276 51 -174 -26
93 140 61 33
26 -64 222 -164
117 93 92 24
198 75 -6 145
140 -48 223 -10
26 63 -65 -89
195 180 258 -133
158 -258 -201 262
23 76 253 142
248 -213 -181 -91
-163 142 -54 -85
-64 -49 144 -128
175 -272 -14 -180
5 -195 220 -173
-242 170 -196 140
-127 286 -176 191
214 129 -269 -85
-263 -33 -234 -57
17 -75 296 -261
-149 -173 177 176
-126 -249 203 82
-73 -26 162 -66
60 -115 -111 -28
121 216 -5 -237
-199 -248 -30 -85
-238 -63 -130 41
127 222 -75 -187
-297 199 202 270
-92 231 194 -91
237 -193 77 -193
119 -13 289 -288
-37 169 80 -33
157 -48 58 220
29 -37 -206 -197
263 -138 1 156
-100 -278 130 -221
-296 -58 298 -221
-115 278 -275 -134
230 -144 67 -209
159 -288 -16 -238
-63 285 27 290
263 -39 129 271
155 -99 -223 243
-148 287 116 65
-200 267 151 288
-47 -60 11 148
127 231 36 -16
5 -265 -248 -115
8 225 106 14
175 -150 -75 189
218 139 -151 38
-64 59 176 109
-84 134 -32 -269
275 -130 -192 199
67 295 238 -8
245 275 175 -153
-142 -101 -150 6
199 169 -220 -287
-180 -165 -270 -282
129 165 -123 -132
238 -265 -246 225
132 212 205 96
200 147 260 146
110 -62 249 -270
78 -77 -163 253
101 277 135 -185
-97 -151 -286 -147
204 40 -160 254
191 165 -245 39
-17 -219 177 189
282 230 -156 -129
221 110 265 -228
137 12 266 259
94 255 261 -241
-159 251 161 -300
-12 222 -206 203
-148 40 -41 -16
-200 -95 -222 -119
-113 -14 25 -229
224 136 -7 -31
188 -242 6 28
296 -249 -62 22
224 238 -13 136
194 -15 -84 -134
20 71 -8 -226
-274 -28 148 -229
-49 220 -281 109
