-178 262 49 64
244 290 147 -160
-116 -185 47 165
240 -62 -227 260
120 -233 162 83
165 -79 -131 70
35 99 -53 -155
51 229 -114 15
63 9 -236 -145
134 154 109 -278
285 287 -261 126
0 235 -255 54
94 212 124 -238
-108 110 -159 -42
-40 268 186 273
-253 -276 -293 -220
148 165 101 -185
170 -69 -73 224
115 299 -117 20
-15 106 -45 -38
-30 -33 -61 107
-79 -145 -95 -23
-14 226 169 189
299 -260 271 -294
-214 -11 71 253
114 206 -109 -136
-59 186 44 174
294 96 -222 171
-292 120 36 -55
-296 -18 195 -187
-228 76 -207 180
98 -207 241 190
-118 -207 -242 -114
-164 -48 106 253
-34 170 177 -19
64 -216 -296 269
-97 101 230 127
9 -209 -13 -82
-97 -192 -118 -151
-67 -17 -107 280
-187 -268 67 91
159 -158 160 -61
72 -177 120 5
-13 -192 -241 -295
-286 296 78 91
-49 26 -297 -296
-194 -117 175 287
293 223 -150 162
-38 -186 45 -280
-87 -224 -193 -51
222 253 -41 -153
236 -277 241 -177
-128 -81 94 -58
149 -234 -13 20
-32 282 160 276
47 -50 -115 85
166 263 36 275
236 -296 216 -83
-153 -98 207 233
67 -118 -106 5
-82 -278 143 86
-7 -103 -223 142
-251 -276 179 180
185 95 69 -227
247 -14 -5 -149
-237 214 -290 -121
6 -194 -278 -105
-19 0 28 114
35 -300 237 -76
163 -179 105 -55
67 -296 -290 -255
-260 -199 -161 -242
-236 229 162 -22
161 104 -8 240
-261 184 -193 168
182 159 -274 -15
-104 -254 231 214
273 -264 291 122
-217 -177 283 114
-279 86 123 -195
-61 -100 -217 125
102 127 151 -228
-28 140 269 63
19 -127 120 -121
41 -295 -228 120
125 -54 263 61
-24 -246 -262 116
-231 -83 30 144
104 -24 -222 -280
136 214 49 -298
256 22 -95 282
-155 19 -156 -95
-116 -34 99 148
249 -24 -16 166
200 -94 110 194
126 -103 191 251
246 193 270 -94
72 260 187 256
-48 261 -125 -64
-112 129 8 206
