-201 231 -270 185
-103 230 -77 204
-16 231 6 185
51 233 34 191
170 234 128 188
135 236 177 154
263 226 250 167
216 136 294 103
170 67 216 102
104 29 45 88
-53 11 8 83
-63 59 -91 97
-159 27 -292 92
-130 -31 -73 -111
-26 -35 -46 -140
40 -36 49 -127
139 -43 91 -67
160 -53 171 -81
230 -26 217 -85
287 -30 291 -107
286 -134 245 -207
189 -129 160 -193
-86 -110 -41 -120
-85 -141 -40 -131
-9 -145 38 -96
290 -197 220 -211
183 -228 108 -214
34 -247 75 -225
0 -242 14 -220
-12 -237 -18 -214
-92 -239 -38 -209
-98 -203 -57 -243
-112 -212 -123 -239
-208 -210 -224 -233
-67 -265 -211 -289
-98 -284 -79 -289
-68 -281 -9 -290
14 -266 58 -294
-125 259 -29 280
-50 236 -36 243
